apartment_name,build_year,area,floor,dong,road_name,road_name_bonbun,jibun,deal_amount,deal_day,URL
삼익비치,1979,131.27,9, 남천동,광안해변로,100,148-4,"200,000",2022.1.11,https://new.land.naver.com/complexes/7770?tab=photos&rf=Y
삼익비치,1979,84.83,3, 남천동,광안해변로,100,148-4,"145,000",2022.1.14,https://new.land.naver.com/complexes/7770?tab=photos&rf=Y
삼익비치,1979,84.83,3, 남천동,광안해변로,100,148-4,"145,000",2022.1.14,https://new.land.naver.com/complexes/7770?tab=photos&rf=Y
삼익비치,1979,131.27,1, 남천동,광안해변로,100,148-4,"170,000",2022.2.9,https://new.land.naver.com/complexes/7770?tab=photos&rf=Y
삼익비치,1979,131.27,4, 남천동,광안해변로,100,148-4,"213,000",2022.2.12,https://new.land.naver.com/complexes/7770?tab=photos&rf=Y
삼익비치,1979,41.52,9, 남천동,광안해변로,100,148-4,"88,500",2022.5.6,https://new.land.naver.com/complexes/7770?tab=photos&rf=Y
한양,1980,96.4,11, 낙민동,충렬대로,314,172,"79,000",2022.3.26,https://new.land.naver.com/complexes/4824?tab=photos&rf=Y
한양,1980,96.4,9, 낙민동,충렬대로,314,172,"80,000",2022.4.24,https://new.land.naver.com/complexes/4824?tab=photos&rf=Y
시영79년,1980,40.13,2, 재송동,해운대로61번길,62,1030,"28,500",2022.5.6,https://new.land.naver.com/complexes/15089?tab=photos&rf=Y
시영79년,1980,40.13,4, 재송동,해운대로61번길,62,1030,"26,600",2022.5.6,https://new.land.naver.com/complexes/15089?tab=photos&rf=Y
왕자,1979,65.16,5, 반여동,선수촌로,9,1477-1,"69,000",2022.4.7,https://new.land.naver.com/complexes/7554?tab=photos&rf=Y
대동대교맨션,1980,98.33,6, 대평동1가,대평로,16,1,"55,000",2022.2.18,https://new.land.naver.com/complexes/7709?tab=photos&rf=Y
한양아파트,1978,74.18,5, 범일동,조방로26번길,17,830-90,"58,400",2022.4.5,https://new.land.naver.com/complexes/4795?tab=photos&rf=Y
한양아파트,1978,64.23,12, 범일동,조방로26번길,17,830-90,"52,500",2022.5.9,https://new.land.naver.com/complexes/4795?tab=photos&rf=Y
수안,1976,50.58,5, 수안동,명륜로45번길,31,10월 01일,"35,000",2022.4.1,https://new.land.naver.com/complexes/19335?tab=detail&rf=Y
효성,1983,65.01,2, 연산동,중앙대로1038번길,54,1643-2,"31,500",2022.2.11,https://new.land.naver.com/complexes/13691?tab=detail&rf=Y
신동양,1979,62.48,3, 괴정동,낙동대로,265,547-1,"32,700",2022.3.30,https://new.land.naver.com/complexes/6218?tab=photos&rf=Y
한신2,1984,61.02,2, 낙민동,낙민로,17,185-1,"51,700",2022.3.7,https://new.land.naver.com/complexes/14759?tab=photos&rf=Y
창신맨션,1986,50.76,1, 반여동,삼어로147번길,11,668-1,"36,000",2022.1.11,https://new.land.naver.com/complexes/7586?tab=photos&rf=Y
창신맨션,1986,41.4,3, 반여동,삼어로147번길,11,668-1,"30,000",2022.5.13,https://new.land.naver.com/complexes/7586?tab=photos&rf=Y
창신,1985,61.065,1, 당리동,승학로17번길,20,237-2,"29,500",2022.5.13,https://new.land.naver.com/complexes/6675?tab=photos&rf=Y
창신,1985,65.025,6, 당리동,승학로17번길,20,237-2,"28,700",2022.5.26,https://new.land.naver.com/complexes/6675?tab=photos&rf=Y
금양해바라기2,1981,71.8,4, 수안동,충렬대로202번길,14,665-1,"75,000",2022.2.18,https://new.land.naver.com/complexes/4890?tab=photos&rf=Y
삼익,1978,78.31,10, 괴정동,낙동대로,287,550-12,"53,000",2022.5.6,https://new.land.naver.com/complexes/6169?tab=detail&rf=Y
광림,1984,78.3,2, 낙민동,낙민로,13,187-1,"64,000",2022.1.10,https://new.land.naver.com/complexes/25431?tab=detail&rf=Y
광림,1984,78.3,1, 낙민동,낙민로,13,187-1,"60,000",2022.5.23,https://new.land.naver.com/complexes/25431?tab=detail&rf=Y
새동림,1984,79.38,4, 당리동,승학로17번길,8,234-1,"41,000",2022.5.18,https://new.land.naver.com/complexes/16047?tab=detail&rf=Y
제일(8-4),1978,67.97,2, 수안동,충렬대로202번길,77,08월 04일,"26,500",2022.2.11,https://new.land.naver.com/complexes/10645?tab=detail&rf=Y
